"id","summary_id","participant_key","participant_label","participant_kind","opponent_key","won","side","opponent_side","matchup","total_force_spent","total_force_regen","ending_force","ending_hp","ending_armor","low_force_windows","grip_cripple_events","saber_throw_punishes","knockdown_events","late_defense_spends","opening_tactic","primary_issue","spent_neutral","spent_advantage","spent_disadvantage","spent_panic","spent_finishing","force_push","force_pull","force_grip","force_drain","force_rage","force_absorb","force_protect","force_heal","force_speed","force_seeing","force_unknown"
"457","229","bot:/botfiles/gran.jkb","Gran","0","bot:/botfiles/chiss.jkb","1","1","2","2","904","820","16","92","99","60","0","0","1","12","protect","low_force","103","11","301","414","75","2","81","0","0","0","61","22","468","270","0","0"
"458","229","bot:/botfiles/chiss.jkb","Chiss","0","bot:/botfiles/gran.jkb","0","2","1","2","930","930","100","-15","59","3","0","1","2","0","pull","low_force","20","0","535","80","295","222","431","80","25","0","0","0","0","132","40","0"
"459","230","user:socrates","socrates","1","iphash:7d6be969","1","1","1","1","1362","1287","25","34","0","34","0","9","3","0","unknown","low_force","254","0","146","826","136","0","0","0","0","0","0","0","0","0","1362","0"
"460","230","iphash:7d6be969","^0ff^7'^0Gòónat¡Ç","2","user:socrates","0","1","1","1","1475","1423","100","-12","0","32","0","18","3","0","seeing","low_force","40","0","283","1010","142","0","0","0","0","0","0","0","0","0","1475","0"
"461","231","iphash:7d6be969","^0ff^7'^0Gòónat¡Ç","2","user:void","1","1","2","2","242","171","23","80","39","4","0","5","0","0","seeing","low_force","5","0","143","94","0","0","0","0","0","0","0","0","0","0","242","0"
"462","231","user:void","void","1","iphash:7d6be969","0","2","1","2","125","94","100","-1","0","0","0","5","1","0","seeing","saber_throw","59","0","46","0","20","0","0","0","0","0","0","0","0","0","125","0"
"463","232","iphash:7d6be969","^0ff^7'^0Gòónat¡Ç","2","user:void","1","1","2","2","226","226","100","100","100","0","0","0","0","0","seeing","linear_entries","153","0","73","0","0","0","0","0","0","0","0","0","0","0","226","0"
"464","232","user:void","void","1","iphash:7d6be969","0","2","1","2","41","41","100","-20","0","0","0","2","0","0","unknown","saber_throw","0","0","41","0","0","0","0","0","0","0","0","0","0","0","41","0"
"465","233","iphash:7d6be969","^0ff^7'^0Gòónat¡Ç","2","user:void","1","1","2","2","881","804","23","53","0","27","0","9","2","0","seeing","low_force","222","12","168","283","196","0","0","0","0","0","0","0","0","0","881","0"
"466","233","user:void","void","1","iphash:7d6be969","0","2","1","2","652","571","100","-29","0","6","0","13","2","0","seeing","low_force","34","0","298","235","85","0","0","0","0","0","0","0","0","0","652","0"
"467","234","user:void","void","1","iphash:7d6be969","1","2","1","2","527","461","34","60","10","4","0","3","1","0","seeing","low_force","180","45","86","51","165","0","0","0","0","0","0","0","0","0","527","0"
"468","234","iphash:7d6be969","^0ff^7'^0Gòónat¡Ç","2","user:void","0","1","2","2","561","493","100","-6","0","23","0","8","1","0","seeing","low_force","84","0","199","210","68","0","0","0","0","0","0","0","0","0","561","0"
"469","235","iphash:7d6be969","^0ff^7'^0Gòónat¡Ç","2","user:void","1","1","2","2","186","150","58","60","0","1","0","5","0","0","seeing","low_force","86","0","40","20","40","0","0","0","0","0","0","0","0","0","186","0"
"470","235","user:void","void","1","iphash:7d6be969","0","2","1","2","225","131","100","0","0","5","0","5","0","0","unknown","low_force","40","0","79","86","20","0","0","0","0","0","0","0","0","0","225","0"
"471","236","iphash:7d6be969","^0ff^7'^0Gòónat¡Ç","2","user:void","1","1","2","2","657","617","60","93","0","26","1","4","0","0","seeing","low_force","74","0","133","340","110","0","0","0","0","0","0","0","0","0","657","0"
"472","236","user:void","void","1","iphash:7d6be969","0","2","1","2","533","512","100","-11","0","7","0","8","2","0","unknown","low_force","20","0","156","162","195","0","0","0","0","0","0","0","0","0","533","0"
