"id","start_time","end_time","duration","type","mapname","winner_key","winner_label","winner_kind","winner_side","loser_key","loser_label","loser_kind","loser_side","draw","winner_opening","loser_opening","source_context"
"59","1789863987","1789864015","28","1","maps/mp/ffa3","iphash:fa31973a","^0ff^6'^0heretic","2","2","iphash:c7c8a416","^0FF^4'^0Prinky","2","2","0","seeing","seeing","duel"
"60","1789864019","1789864091","72","1","maps/mp/ffa3","iphash:c7c8a416","^0FF^4'^0Prinky","2","2","iphash:fa31973a","^0ff^6'^0heretic","2","2","0","unknown","seeing","duel"
"61","1789864105","1789864189","84","1","maps/mp/ffa3","iphash:c7c8a416","^0FF^4'^0Prinky","2","2","iphash:fa31973a","^0ff^6'^0heretic","2","2","0","seeing","seeing","duel"
"62","1789864195","1789864214","19","1","maps/mp/ffa3","iphash:fa31973a","^0ff^6'^0heretic","2","2","iphash:c7c8a416","^0FF^4'^0Prinky","2","2","0","unknown","seeing","duel"
"63","1789864219","1789864276","57","1","maps/mp/ffa3","iphash:fa31973a","^0ff^6'^0heretic","2","2","iphash:c7c8a416","^0FF^4'^0Prinky","2","2","0","unknown","seeing","duel"
"64","1789864281","1789864344","63","1","maps/mp/ffa3","iphash:fa31973a","^0ff^6'^0heretic","2","2","iphash:c7c8a416","^0FF^4'^0Prinky","2","2","0","seeing","unknown","duel"
"65","1789864349","1789864434","85","1","maps/mp/ffa3","iphash:fa31973a","^0ff^6'^0heretic","2","2","iphash:c7c8a416","^0FF^4'^0Prinky","2","2","0","seeing","seeing","duel"
"66","1789864441","1789864530","89","1","maps/mp/ffa3","iphash:fa31973a","^0ff^6'^0heretic","2","2","iphash:c7c8a416","^0FF^4'^0Prinky","2","2","0","seeing","seeing","duel"
"67","1789864534","1789864572","38","1","maps/mp/ffa3","iphash:c7c8a416","^0FF^4'^0Prinky","2","2","iphash:fa31973a","^0ff^6'^0heretic","2","2","0","seeing","seeing","duel"
"68","1789864578","1789864681","103","1","maps/mp/ffa3","iphash:c7c8a416","^0FF^4'^0Prinky","2","2","iphash:fa31973a","^0ff^6'^0heretic","2","2","0","seeing","seeing","duel"
